,District Number,District Name,School Number,School Name,Gend,Ethn,FRL,ELL,IEP,Mean Score Math,Mean Score EBRW,Zip Code,Median Family Income,Population
74,0180,adams-arapahoe 28j,4024,hinkley high school,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,402.830188679245,408.867924528302,80011,43118.0,47287.0
75,0180,adams-arapahoe 28j,4024,hinkley high school,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,484.754098360656,486.393442622951,80011,43118.0,47287.0
76,0180,adams-arapahoe 28j,4024,hinkley high school,Male,Hispanic,FRL Eligible,English Learners,Students without IEPs,405.166666666667,409,80011,43118.0,47287.0
77,0180,adams-arapahoe 28j,4024,hinkley high school,Male,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,502.352941176471,481.960784313725,80011,43118.0,47287.0
78,0180,adams-arapahoe 28j,7250,rangeview high school,Female,Black,FRL Eligible,Not English Learners,Students without IEPs,434.375,452.5,80013,75231.0,71619.0
79,0180,adams-arapahoe 28j,7250,rangeview high school,Female,Black,Not FRL Eligible,Not English Learners,Students without IEPs,491.052631578947,485.263157894737,80013,75231.0,71619.0
80,0180,adams-arapahoe 28j,7250,rangeview high school,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,415.5,429.5,80013,75231.0,71619.0
81,0180,adams-arapahoe 28j,7250,rangeview high school,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,477.435897435897,482.820512820513,80013,75231.0,71619.0
82,0180,adams-arapahoe 28j,7250,rangeview high school,Female,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,531.25,543.125,80013,75231.0,71619.0
83,0180,adams-arapahoe 28j,7250,rangeview high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,539,540.75,80013,75231.0,71619.0
84,0180,adams-arapahoe 28j,7250,rangeview high school,Male,Black,FRL Eligible,Not English Learners,Students without IEPs,467.368421052632,468.421052631579,80013,75231.0,71619.0
85,0180,adams-arapahoe 28j,7250,rangeview high school,Male,Hispanic,FRL Eligible,English Learners,Students without IEPs,432.631578947368,414.210526315789,80013,75231.0,71619.0
86,0180,adams-arapahoe 28j,7250,rangeview high school,Male,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,509.354838709677,504.516129032258,80013,75231.0,71619.0
87,0180,adams-arapahoe 28j,7250,rangeview high school,Male,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,497,486.5,80013,75231.0,71619.0
88,0180,adams-arapahoe 28j,7250,rangeview high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,555.161290322581,556.129032258065,80013,75231.0,71619.0
89,0180,adams-arapahoe 28j,9125,vista peak 9-12 preparatory,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,422.777777777778,426.666666666667,80018,101593.0,10512.0
90,0180,adams-arapahoe 28j,9125,vista peak 9-12 preparatory,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,488.571428571429,487.142857142857,80018,101593.0,10512.0
91,0180,adams-arapahoe 28j,9125,vista peak 9-12 preparatory,Female,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,500.454545454545,496.363636363636,80018,101593.0,10512.0
92,0180,adams-arapahoe 28j,9125,vista peak 9-12 preparatory,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,533.333333333333,523.703703703704,80018,101593.0,10512.0
93,0180,adams-arapahoe 28j,9125,vista peak 9-12 preparatory,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,543.157894736842,542.105263157895,80018,101593.0,10512.0
94,0100,alamosa re-11j,0118,alamosa high school,Female,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,485.769230769231,501.153846153846,81101,46353.0,15330.0
95,0100,alamosa re-11j,0118,alamosa high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,531.052631578947,562.105263157895,81101,46353.0,15330.0
96,0100,alamosa re-11j,0118,alamosa high school,Male,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,509.230769230769,513.461538461538,81101,46353.0,15330.0
97,0100,alamosa re-11j,0118,alamosa high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,554.090909090909,564.090909090909,81101,46353.0,15330.0
