,Mean Score Math,Mean Score EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
242,-1.1960912543322568,-1.1974103817737185,-1.0783195917031188,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
283,-0.9940937438700871,-0.6543713192308053,-0.11340107312422848,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
581,-1.7203680645998694,-1.506853624626033,-1.5495476140040478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
508,0.9901361074253108,1.1045291035516205,0.7945345446834838,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
498,0.35354410613994347,0.25900257940693905,0.12703208639294222,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
520,0.6430276799723815,0.4638539270437971,-0.31241778600870307,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
672,-0.11308613227651386,0.5194832838332584,-0.3893628494704209,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
47,1.2587203556607638,1.0765285997925693,1.953791774385025,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
484,0.4916120313460115,0.20644733523928863,0.8180052086953915,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
516,0.024634597811676897,0.855232763239911,0.581927430128884,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
175,0.9089138557082486,0.9134570965220226,1.44796267008716,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
226,-0.835964172558426,-0.6088327345408837,-1.1446181683965484,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
634,-1.0410439927637845,-0.9695929509155552,-1.0038748395278927,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
537,-0.7881877503558862,-0.42884689981408436,-1.3412958804001114,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
610,0.6025215828876195,0.5296318827070114,-0.8509122474365427,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
432,-0.17200409167253758,-0.0469930533016641,0.16324627244567944,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
