,District Number,District Name,School Number,School Name,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10,Zip Code,Median Family Income,Population
143,1000,fountain 8,3110,fountain-fort carson high school,500,485,984,461,449,910,80817,65877.0,28157.0
144,1010,colorado springs 11,0269,achieve online,497,429,926,453,416,869,80909,47403.0,37199.0
145,1010,colorado springs 11,0871,the bijou school,438,411,849,405,404,809,80909,47403.0,37199.0
146,1010,colorado springs 11,1616,civa charter academy,538,517,1055,499,470,968,80918,73300.0,48407.0
147,1010,colorado springs 11,1870,coronado high school,524,501,1025,486,466,952,80904,60413.0,19884.0
148,1010,colorado springs 11,1885,community prep charter school,452,406,858,397,385,782,80903,49496.0,15166.0
149,1010,colorado springs 11,2202,doherty high school,503,502,1005,480,470,949,80917,61831.0,30862.0
150,1010,colorado springs 11,2528,nikola tesla education opportunity center,405,391,795,376,384,760,80909,47403.0,37199.0
151,1010,colorado springs 11,5948,mitchell high school,445,425,870,419,413,831,80909,47403.0,37199.0
152,1010,colorado springs 11,6680,palmer high school,510,495,1005,470,451,921,80903,49496.0,15166.0
153,1020,cheyenne mountain 12,1590,cheyenne mountain high school,582,585,1167,533,539,1072,80906,76185.0,36846.0
154,1020,cheyenne mountain 12,9057,the vanguard school (high),628,615,1243,582,556,1137,80906,76185.0,36846.0
155,1030,manitou springs 14,5468,manitou springs high school,560,518,1078,488,482,971,80829,92309.0,5717.0
156,1040,academy 20,0076,air academy high school,549,542,1091,522,507,1029,80840,68454.0,6046.0
157,1040,academy 20,0110,academy online,527,473,1000,492,458,950,80924,118620.0,5975.0
158,1040,academy 20,0209,aspen valley campus,495,448,943,484,443,927,80920,104840.0,38320.0
159,1040,academy 20,1630,the classical academy high school,593,575,1167,546,530,1077,80921,121412.0,19673.0
160,1040,academy 20,2195,discovery canyon campus high school,561,554,1115,528,519,1046,80921,121412.0,19673.0
161,1040,academy 20,5126,liberty high school,535,517,1052,495,481,976,80920,104840.0,38320.0
162,1040,academy 20,6937,pine creek high school,566,546,1112,521,503,1024,80908,111220.0,13924.0
163,1040,academy 20,7240,rampart high school,546,541,1087,506,501,1006,80920,104840.0,38320.0
164,1040,academy 20,8779,tca college pathways,600,570,1169,558,515,1073,80921,121412.0,19673.0
165,1050,ellicott 22,2642,ellicott senior high school,449,443,893,425,431,856,80808,66690.0,6053.0
166,1060,peyton 23 jt,6902,peyton senior high school,488,471,959,455,438,893,80831,82396.0,24009.0
167,1080,lewis-palmer 38,5100,lewis-palmer high school,550,542,1092,517,503,1020,80132,116314.0,20221.0
168,1080,lewis-palmer 38,6678,palmer ridge high school,574,568,1141,533,523,1056,80132,116314.0,20221.0
169,1110,falcon 49,2877,springs studio for academic excellence,525,482,1007,479,442,921,80915,59594.0,20237.0
170,1110,falcon 49,2908,falcon high school,500,471,971,473,451,925,80831,82396.0,24009.0
171,1110,falcon 49,3475,goal academy,432,400,832,413,397,810,81003,39597.0,15709.0
172,1110,falcon 49,6810,patriot high school,403,400,803,408,377,785,80831,82396.0,24009.0
173,1110,falcon 49,7613,sand creek high school,494,465,959,464,437,901,80922,82892.0,26905.0
174,1110,falcon 49,8791,vista ridge high school,507,483,990,465,446,912,80923,83380.0,28292.0
175,1130,miami/yoder 60 jt,5854,miami-yoder middle/high school,468,448,916,454,440,894,80833,57750.0,527.0
176,1140,canon city re-1,1266,canon city high school,490,464,954,461,442,903,81212,49816.0,30211.0
177,1150,fremont re-2,3002,florence high school,475,457,932,439,426,865,81226,50732.0,9090.0
178,1180,roaring fork re-1,0570,basalt high school,492,514,1006,447,473,921,81621,71379.0,6564.0
179,1180,roaring fork re-1,3468,glenwood springs high school,509,506,1015,476,477,952,81601,76737.0,16368.0
180,1180,roaring fork re-1,7422,roaring fork high school,502,485,987,454,463,917,81623,83068.0,14530.0
